,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0428-1024:00_1470207720,51532,1024.08,430.142,259.471,252.87099999999998,67.426,263.873,1,972,551,68.199,254.0,0,1470207720,2827474.2911325246,0,False,0,0.0
1,2,flattened:0001-0717-1334:00_1470207720,48933,1334.0420000000001,717.307,257.72700000000003,241.74200000000002,114.92200000000001,260.716,1,1289,594,111.84200000000001,244.13299999999998,0,1470207720,2619469.57543351,0,False,0,1.0
2,3,flattened:0001-1583-1274:00_1470207720,46091,1274.306,1580.816,245.45,239.09099999999998,117.64299999999999,247.25900000000001,1,1201,1480,125.618,240.416,0,1470207720,2361132.371300547,0,False,0,2.0
3,4,flattened:0002-0427-1027:01_1470207780,51564,1026.535,428.236,259.556,252.945,74.348,263.883,2,987,554,73.488,254.0,1,1470207780,2827638.0877905455,0,False,0,0.0
4,5,flattened:0002-0715-1333:01_1470207780,48984,1332.9189999999999,715.8639999999999,257.532,242.17700000000002,107.749,260.017,2,1306,588,103.34100000000001,244.0,1,1470207780,2606540.1115388605,0,False,0,1.0
5,6,flattened:0002-1583-1274:01_1470207780,46103,1273.818,1580.884,244.929,239.662,117.24600000000001,246.71,2,1209,1475,119.37,241.0,1,1470207780,2361640.7768828124,0,False,0,2.0
6,7,flattened:0003-0427-1029:02_1470207840,51524,1028.828,427.59,259.349,252.95,87.76899999999999,263.752,3,1011,558,81.71600000000001,254.0,2,1470207840,2825492.85287198,0,False,0,0.0
7,8,flattened:0003-0715-1333:02_1470207840,48917,1332.779,715.799,257.255,242.106,107.97,259.788,3,1301,589,103.12700000000001,244.0,2,1470207840,2602988.8829515367,0,False,0,1.0
8,9,flattened:0003-1583-1275:02_1470207840,46128,1274.921,1581.219,245.454,239.27900000000002,116.861,247.51,3,1205,1478,121.956,240.787,2,1470207840,2370178.344169295,0,False,0,2.0
10,11,flattened:0005-1318-0750:04_1470207960,37965,750.044,1314.531,234.51,206.12599999999998,145.45,237.96599999999998,5,644,1250,146.31,208.19,4,1470207960,1807961.0545424188,1,True,1,3.0
11,12,flattened:0005-1509-1082:04_1470207960,37289,1081.078,1507.53,232.03400000000002,204.61599999999999,46.045,233.032,5,1012,1603,50.571999999999996,202.231,4,1470207960,1678742.597725542,1,True,1,4.0
12,13,flattened:0006-0555-0422:05_1470208022,35346,419.67,553.681,217.08,207.315,23.711,223.403,6,332,625,37.178000000000004,207.863,5,1470208022,1632918.539006599,1,True,2,5.0
13,14,flattened:0006-1304-1311:05_1470208022,35740,1314.12,1307.118,217.22400000000002,209.487,145.167,220.53099999999998,6,1220,1258,152.157,208.558,5,1470208022,1608314.588156315,1,True,2,6.0
