,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0278-1398:00_1470339304,64787,1397.4879999999998,275.993,287.763,286.658,127.53200000000001,307.508,1,1306,411,59.516000000000005,286.68,0,1470339304,4270713.989758068,0,False,0,0.0
1,2,flattened:0001-0543-0993:00_1470339304,67000,995.439,542.877,300.449,283.932,114.807,302.72900000000004,1,886,437,130.84799999999998,284.198,0,1470339304,4116054.5620696675,0,False,0,1.0
2,3,flattened:0001-1168-1417:00_1470339304,66749,1419.983,1168.3010000000002,297.579,285.596,93.697,300.568,1,1394,1022,105.238,287.993,0,1470339304,4150527.544084849,0,False,0,2.0
3,4,flattened:0001-1576-0592:00_1470339304,60411,591.469,1575.391,278.591,276.095,99.12700000000001,285.512,1,491,1471,131.45,274.129,0,1470339304,3568267.705050577,0,False,0,3.0
4,5,flattened:0001-1642-1646:00_1470339304,64863,1644.507,1641.066,293.29400000000004,281.582,108.455,299.873,1,1540,1535,140.684,283.097,0,1470339304,4033364.544932666,0,False,0,4.0
5,6,flattened:0002-0277-1401:01_1470339364,64733,1399.335,275.726,288.0,286.183,82.07,309.38599999999997,2,1306,411,59.29,286.0,1,1470339364,4296597.907600025,0,False,0,0.0
6,7,flattened:0002-0543-0995:01_1470339364,67023,998.3810000000001,543.286,300.393,284.08299999999997,124.18299999999999,303.026,2,871,460,142.374,284.627,1,1470339364,4131347.537834265,0,False,0,1.0
7,8,flattened:0002-1167-1420:01_1470339364,66942,1422.489,1167.7269999999999,297.631,286.372,92.598,300.361,2,1398,1021,99.77600000000001,288.58799999999997,1,1470339364,4158741.4754640847,0,False,0,2.0
8,9,flattened:0002-1576-0592:01_1470339364,60416,592.2769999999999,1575.43,278.383,276.324,103.273,284.60900000000004,2,480,1662,36.427,274.921,1,1470339364,3566144.920112563,0,False,0,3.0
9,10,flattened:0002-1641-1646:01_1470339364,64668,1644.335,1640.0420000000001,291.77299999999997,282.198,97.985,297.558,2,1543,1531,140.31799999999998,284.622,1,1470339364,4016989.558162911,0,False,0,4.0
