,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0266-1901:00_1470181820,47162,1901.559,266.374,248.71200000000002,241.438,20.254,250.48,1,1789,322,27.588,242.405,0,1470181820,304702.25960648694,False,False,0,0.0
1,2,flattened:0001-0671-1506:00_1470181820,49289,1506.151,670.898,254.125,246.952,168.618,254.78799999999998,1,1382,643,167.764,247.0,0,1470181820,321513.8485893188,False,False,0,1.0
2,3,flattened:0001-0668-0593:00_1470181820,45822,594.217,668.3530000000001,245.11700000000002,238.018,69.23,246.532,1,540,779,61.668,238.175,0,1470181820,289785.5632746432,False,False,0,2.0
3,4,flattened:0001-0984-0822:00_1470181820,47967,821.688,984.4910000000001,248.958,245.31599999999997,70.49600000000001,250.34799999999998,1,743,1082,51.161,245.627,0,1470181820,310468.98998275684,False,False,0,3.0
4,5,flattened:0001-1029-1290:00_1470181820,50480,1290.34,1029.005,254.793,252.25599999999997,107.927,256.353,1,1227,917,118.165,252.437,0,1470181820,335161.8440411735,False,False,0,4.0
5,6,flattened:0001-1022-0350:00_1470181820,44466,350.593,1021.012,242.388,233.576,152.63299999999998,244.168,1,256,943,139.984,235.0,0,1470181820,279964.0657407349,False,False,0,5.0
6,7,flattened:0001-1489-1098:00_1470181820,48596,1098.181,1488.398,251.112,246.40200000000002,146.085,252.982,1,995,1415,145.305,247.487,0,1470181820,318985.11325822497,False,False,0,6.0
7,8,flattened:0001-1694-1568:00_1470181820,47124,1567.878,1694.855,246.622,243.28799999999998,136.596,248.31599999999997,1,1470,1619,141.376,244.41400000000002,0,1470181820,304414.8862871272,False,False,0,7.0
8,9,flattened:0002-0265-1901:01_1470181880,46859,1901.3529999999998,265.177,248.635,239.96099999999998,25.320999999999998,250.06,2,1796,332,31.592,241.05900000000003,1,1470181880,301438.74901010323,False,False,0,0.0
9,10,flattened:0002-0672-1502:01_1470181880,49194,1501.531,672.0160000000001,254.80900000000003,245.815,163.747,255.766,2,1377,645,167.81099999999998,246.86900000000003,1,1470181880,323144.7095812176,False,False,0,1.0
10,11,flattened:0002-0668-0593:01_1470181880,45415,593.836,668.049,243.998,236.986,76.792,245.122,2,538,777,62.285,236.91,1,1470181880,285014.18875470024,False,False,0,2.0
11,12,flattened:0002-0984-0824:01_1470181880,47999,823.737,984.172,248.99,245.44799999999998,76.041,250.05599999999998,2,808,1108,82.648,245.88,1,1470181880,310395.75642144954,False,False,0,3.0
12,13,flattened:0002-1028-1290:01_1470181880,50534,1289.517,1028.397,255.834,251.49900000000002,109.962,257.17900000000003,2,1253,905,106.955,251.738,1,1470181880,335412.88777204225,False,False,0,4.0
13,14,flattened:0002-1022-0350:01_1470181880,44307,350.43800000000005,1021.8539999999999,241.987,233.12599999999998,153.122,243.55900000000003,2,250,952,145.201,234.75900000000001,1,1470181880,278476.81553072936,False,False,0,5.0
14,15,flattened:0002-1485-1097:01_1470181880,48810,1097.377,1485.1879999999999,252.493,246.13299999999998,142.841,253.671,2,984,1428,155.05100000000002,246.43599999999998,1,1470181880,318293.4274156693,False,False,0,6.0
