,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
31,32,flattened:0010-0555-0581:09_1470204010,41071,580.6990000000001,556.385,236.838,220.798,1.534,241.238,10,464,536,168.03799999999998,221.899,9,1470204010,252794.31614240436,True,False,1,5.0
32,33,flattened:0010-1146-1761:09_1470204010,43992,1759.624,1147.309,245.41400000000002,228.236,83.51,250.46,10,1747,1271,83.811,229.07299999999998,9,1470204010,280604.3301779971,True,False,1,6.0
33,34,flattened:0010-1250-0971:09_1470204010,36954,977.2280000000001,1251.438,225.928,208.25799999999998,17.835,231.812,10,856,1248,171.06599999999997,208.016,9,1470204010,216514.7517767134,True,False,1,7.0
34,35,flattened:0011-0556-0583:10_1470204070,41191,581.418,556.062,237.266,221.043,6.9479999999999995,241.514,11,463,548,173.581,222.66299999999998,10,1470204070,254501.1344337335,True,False,1,5.0
35,36,flattened:0011-1146-1761:10_1470204070,44046,1759.15,1147.297,245.632,228.31400000000002,83.62,250.56900000000002,11,1745,1271,83.584,229.33,10,1470204070,281247.3282033929,True,False,1,6.0
36,37,flattened:0011-1250-0970:10_1470204070,36848,976.7719999999999,1250.894,225.68599999999998,207.88299999999998,14.450999999999999,232.019,11,856,1241,168.06,207.408,10,1470204070,215923.0890236605,True,False,1,7.0
37,38,flattened:0012-0555-0584:11_1470204130,41484,581.514,555.1080000000001,237.80700000000002,222.109,16.144000000000002,241.671,12,464,572,4.271,223.35,11,1470204130,255891.9169827766,True,False,1,5.0
38,39,flattened:0012-1147-1761:11_1470204130,44103,1758.93,1147.411,246.023,228.24599999999998,84.92200000000001,250.799,12,1752,1272,85.426,229.015,11,1470204130,281097.910582822,True,False,1,6.0
39,40,flattened:0012-1250-0970:11_1470204130,36896,976.8810000000001,1250.512,225.675,208.16400000000002,12.607999999999999,232.59599999999998,12,856,1237,166.322,207.417,11,1470204130,216788.07734554983,True,False,1,7.0
40,41,flattened:0013-0554-0584:12_1470204190,41748,582.086,553.964,238.137,223.213,24.59,241.67700000000002,13,466,577,10.008,223.324,12,1470204190,255858.90158198404,True,False,1,5.0
41,42,flattened:0013-1147-1761:12_1470204190,44108,1758.999,1147.8110000000001,245.84599999999998,228.43599999999998,86.64,250.96599999999998,13,1748,1272,84.971,229.433,12,1470204190,282127.3272998547,True,False,1,6.0
42,43,flattened:0013-1251-0970:12_1470204190,36818,977.204,1251.2069999999999,225.50799999999998,207.878,12.492,232.59599999999998,13,856,1238,166.322,207.15200000000002,12,1470204190,216396.62812522173,True,False,1,7.0
43,44,flattened:0014-0553-0580:13_1470204250,42041,581.578,552.948,238.09099999999998,224.822,42.424,241.267,14,480,614,29.008000000000003,224.12,13,1470204250,256496.60047648184,True,False,1,5.0
44,45,flattened:0014-1147-1762:13_1470204250,44184,1759.174,1147.891,245.998,228.688,87.36399999999999,250.72099999999998,14,1749,1272,85.654,229.543,13,1470204250,281889.54691065906,True,False,1,6.0
45,46,flattened:0014-1250-0970:13_1470204250,36762,976.98,1250.415,225.02200000000002,208.01,13.759,232.65900000000002,14,856,1238,167.338,207.752,13,1470204250,217376.87623344813,True,False,1,7.0
46,47,flattened:0015-0553-0579:14_1470204310,42067,580.7669999999999,553.438,237.93400000000003,225.11,50.207,241.22400000000002,15,487,626,36.062,224.519,14,1470204310,257085.67574760068,True,False,1,5.0
47,48,flattened:0015-1147-1761:14_1470204310,44213,1759.092,1147.8980000000001,246.09900000000002,228.745,87.837,250.64700000000002,15,1750,1272,85.882,229.803,14,1470204310,282217.1902341286,True,False,1,6.0
48,49,flattened:0015-1251-0970:14_1470204310,36703,977.123,1251.66,224.928,207.763,15.338,232.22799999999998,15,856,1242,167.81900000000002,207.988,14,1470204310,217088.26133492132,True,False,1,7.0
49,50,flattened:0016-0554-0578:15_1470204370,42070,580.491,554.4069999999999,237.921,225.139,47.849,241.033,16,486,626,34.349000000000004,224.607,15,1470204370,256915.14842480264,True,False,1,5.0
50,51,flattened:0016-1147-1761:15_1470204370,44235,1759.089,1148.25,246.263,228.706,88.95200000000001,251.33599999999998,16,1752,1273,87.035,229.416,15,1470204370,282749.71084648324,True,False,1,6.0
51,52,flattened:0016-1251-0970:15_1470204370,36703,977.461,1252.097,225.021,207.67700000000002,14.413,232.65900000000002,16,856,1241,167.338,207.21400000000003,15,1470204370,216581.21521728736,True,False,1,7.0
52,53,flattened:0017-0554-0578:16_1470204430,42113,580.313,554.512,238.042,225.25400000000002,47.047,241.019,17,485,625,33.492,224.91099999999997,16,1470204430,257395.46672568045,True,False,1,5.0
