,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0294-1737:00_1470277864,53320,1737.994,292.099,265.243,255.951,15.434000000000001,275.409,1,1630,377,37.328,254.468,0,1470277864,378585.5877733094,False,False,0,0.0
1,2,flattened:0001-0645-0634:00_1470277864,51027,632.746,643.389,262.97700000000003,247.054,148.409,271.22900000000004,1,501,614,168.731,247.585,0,1470277864,355364.4102615198,False,False,0,1.0
2,3,flattened:0001-1064-1136:00_1470277864,53784,1136.542,1064.559,272.325,251.46400000000003,156.834,279.58,1,997,1076,3.6910000000000003,250.327,0,1470277864,378649.894455855,False,False,0,2.0
3,4,flattened:0001-1182-1958:00_1470277864,54715,1958.971,1182.532,274.815,253.49900000000002,167.91299999999998,285.212,1,1816,1190,2.21,253.425,0,1470277864,397674.2021059466,False,False,0,3.0
4,5,flattened:0001-1533-1120:00_1470277864,52937,1122.61,1535.021,265.719,253.657,47.165,276.062,1,1058,1656,61.67100000000001,253.66400000000002,0,1470277864,378262.0213542188,False,False,0,4.0
5,6,flattened:0002-0302-1734:01_1470277926,53750,1735.046,299.998,265.633,257.63599999999997,17.059,275.204,2,1623,379,36.578,256.563,1,1470277926,382651.1462881661,False,False,0,0.0
6,7,flattened:0002-0646-0634:01_1470277926,52146,632.966,644.105,266.428,249.201,149.734,273.651,2,499,622,172.018,248.852,1,1470277926,362998.8386020478,False,False,0,1.0
7,8,flattened:0002-1064-1141:01_1470277926,54599,1140.843,1065.6960000000001,274.512,253.24099999999999,158.87,280.216,2,1001,1064,177.75,252.21400000000003,1,1470277926,384084.1845268934,False,False,0,2.0
8,9,flattened:0002-1187-1957:01_1470277926,55360,1958.355,1187.612,276.51099999999997,254.91400000000002,168.157,287.111,2,1814,1190,1.597,255.544,1,1470277926,406640.1878698316,False,False,0,3.0
9,10,flattened:0002-1535-1121:01_1470277926,53744,1123.444,1536.476,267.445,255.862,48.475,277.281,2,1062,1660,62.973,256.10200000000003,1,1470277926,386150.3027899608,False,False,0,4.0
10,11,flattened:0003-0307-1731:02_1470277986,53781,1731.638,305.56,266.089,257.343,15.2,275.204,3,1619,384,36.578,255.96900000000002,2,1470277986,381370.2790274448,False,False,0,0.0
11,12,flattened:0003-0648-0634:02_1470277986,51784,632.744,645.659,265.587,248.255,153.313,272.443,3,501,613,169.639,248.02700000000002,2,1470277986,358778.14142273593,False,False,0,1.0
12,13,flattened:0003-1065-1144:02_1470277986,54742,1144.2160000000001,1066.172,275.423,253.06400000000002,156.083,281.711,3,1004,1054,173.68200000000002,253.333,2,1470277986,389769.0631563394,False,False,0,2.0
13,14,flattened:0003-1187-1961:02_1470277986,55677,1961.453,1186.522,277.505,255.456,168.78599999999997,286.923,3,1818,1198,4.598,255.88400000000001,2,1470277986,406981.98858976946,False,False,0,3.0
