,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0364-0959:00_1470251008,60914,956.163,364.406,298.298,260.002,16.486,326.719,1,800,402,14.717,265.91200000000003,0,1470251008,529653.6462704206,False,False,0,0.0
1,2,flattened:0001-0605-1312:00_1470251008,54579,1312.785,603.3969999999999,270.986,256.441,30.951,278.83,1,1214,701,47.325,256.843,0,1470251008,391145.32232593634,False,False,0,1.0
2,3,flattened:0001-0868-1709:00_1470251008,56099,1707.859,869.2819999999999,280.265,254.857,149.234,291.568,1,1569,818,161.192,260.933,0,1470251008,429178.6168217069,False,False,0,2.0
3,4,flattened:0001-0962-1021:00_1470251008,60437,1028.318,959.1210000000001,296.765,259.29900000000004,148.993,319.695,1,908,860,141.732,270.698,0,1470251008,523675.7572968685,False,False,0,3.0
4,5,flattened:0001-1131-0606:00_1470251008,54960,607.757,1127.883,271.275,257.957,151.91299999999998,289.689,1,468,1090,162.316,256.085,0,1470251008,413692.26261198183,False,False,0,4.0
5,6,flattened:0001-1245-2049:00_1470251008,55865,2048.721,1243.9089999999999,280.428,253.64700000000002,10.902000000000001,299.301,1,1921,1320,30.076999999999998,250.0,0,1470251008,421764.5167075373,False,False,0,5.0
6,7,flattened:0002-0361-0964:01_1470251070,60861,961.5219999999999,360.86800000000005,298.207,259.855,8.634,326.106,2,802,381,6.515,266.341,1,1470251070,529160.4590299573,False,False,0,0.0
7,8,flattened:0002-0600-1312:01_1470251070,54698,1312.668,597.8969999999999,271.551,256.466,31.503,279.116,2,1205,687,41.513999999999996,255.821,1,1470251070,389535.26771180594,False,False,0,1.0
8,9,flattened:0002-0867-1709:01_1470251070,55926,1707.9879999999998,868.758,280.375,253.97099999999998,150.554,292.022,2,1570,815,159.765,261.265,1,1470251070,431012.900486396,False,False,0,2.0
9,10,flattened:0002-0956-1019:01_1470251070,60383,1025.652,953.737,297.422,258.494,146.44899999999998,321.475,2,908,848,138.026,270.358,1,1470251070,527516.93017214,False,False,0,3.0
10,11,flattened:0002-1128-0605:01_1470251070,54890,606.85,1124.99,270.858,258.025,143.517,290.462,2,472,1072,157.319,255.18099999999998,1,1470251070,413394.44329733425,False,False,0,4.0
11,12,flattened:0002-1244-2049:01_1470251070,55872,2048.091,1244.395,282.05,252.22,11.780999999999999,303.638,2,1917,1319,29.604,250.69400000000002,1,1470251070,433459.6941503421,False,False,0,5.0
12,13,flattened:0003-0365-0969:02_1470251130,60526,967.049,363.996,296.901,259.562,4.698,324.127,3,808,375,4.7780000000000005,266.35900000000004,2,1470251130,523923.267942081,False,False,0,0.0
13,14,flattened:0003-0599-1312:02_1470251130,54869,1311.6370000000002,596.387,272.147,256.705,31.392,280.927,3,1200,683,40.38,256.0,2,1470251130,393898.74860807305,False,False,0,1.0
14,15,flattened:0003-0866-1710:02_1470251130,56155,1707.954,867.841,280.945,254.49400000000003,147.862,290.904,3,1575,804,155.638,261.053,2,1470251130,427912.1393195358,False,False,0,2.0
15,16,flattened:0003-0951-1019:02_1470251130,60413,1026.0810000000001,950.319,297.77299999999997,258.318,135.639,318.057,3,935,824,125.789,270.528,2,1470251130,518879.4135279322,False,False,0,3.0
16,17,flattened:0003-1124-0605:02_1470251130,55062,607.646,1122.423,270.256,259.41,143.92,290.291,3,472,1070,154.494,254.803,2,1470251130,412147.884964674,False,False,0,4.0
17,18,flattened:0003-1243-2050:02_1470251130,55751,2049.4829999999997,1243.553,283.504,250.382,12.68,306.498,3,1919,1322,30.162,250.24200000000002,2,1470251130,439133.0719214884,False,False,0,5.0
18,19,flattened:0004-0487-0976:03_1470251190,45866,974.328,489.776,254.81,229.18400000000003,126.566,263.828,4,887,391,133.618,229.45,3,1470251190,305431.70051467035,True,True,1,6.0
19,20,flattened:0004-0880-1605:03_1470251190,45504,1604.719,877.2239999999999,257.125,225.328,155.12,284.074,4,1470,832,160.034,226.922,3,1470251190,339540.33452830673,True,True,1,7.0
20,21,flattened:0005-0400-0474:04_1470251250,42275,477.075,399.345,245.639,219.127,127.712,252.301,5,387,312,131.143,221.80200000000002,4,1470251250,271179.578162306,True,False,1,8.0
