,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
32,33,flattened:0009-1278-1390:08_1470191720,37763,1389.467,1277.9360000000001,220.75900000000001,217.801,54.727,224.415,9,1299,1342,32.628,218.0,8,1470191720,220357.7859806756,True,True,1,7.0
33,34,flattened:0009-1654-0946:08_1470191720,39466,945.087,1654.0810000000001,233.387,215.30599999999998,79.249,235.968,9,901,1763,66.259,215.817,8,1470191720,234657.42094300193,True,True,1,8.0
34,35,flattened:0010-1030-0964:09_1470191780,38690,965.3430000000001,1029.145,229.079,215.042,84.604,231.553,10,964,1146,86.038,215.0,9,1470191780,226598.9559915234,True,True,1,6.0
35,36,flattened:0010-1260-1398:09_1470191780,37723,1397.672,1260.447,220.58900000000003,217.737,38.366,223.65400000000002,10,1293,1295,16.896,218.49599999999998,9,1470191780,219962.05001346447,True,True,1,7.0
36,37,flattened:0010-1666-0967:09_1470191780,39431,966.052,1666.3010000000002,233.00900000000001,215.46400000000003,94.49,234.968,10,948,1782,79.455,215.69099999999997,9,1470191780,232907.254818858,True,True,1,8.0
37,38,flattened:0011-1031-0966:10_1470191840,38708,967.187,1029.76,228.695,215.503,84.441,230.703,11,967,1146,85.525,216.0,10,1470191840,226827.38080615166,True,True,1,6.0
38,39,flattened:0011-1244-1416:10_1470191840,37758,1414.25,1244.684,220.868,217.66299999999998,25.008000000000003,223.78799999999998,11,1307,1273,10.557,218.208,10,1470191840,219732.292971048,True,True,1,7.0
39,40,flattened:0011-1692-1001:10_1470191840,39443,1000.6360000000001,1692.578,232.787,215.735,114.45299999999999,234.47799999999998,11,982,1576,98.337,216.345,10,1470191840,233161.62025965564,True,True,1,8.0
40,41,flattened:0012-1025-0968:11_1470191900,38728,968.9019999999999,1024.156,228.352,215.938,85.396,231.24900000000002,12,960,910,95.95700000000001,216.0,11,1470191900,227660.14344235344,True,True,1,6.0
41,42,flattened:0012-1226-1440:11_1470191900,37755,1439.141,1226.373,220.76,217.753,18.409000000000002,223.143,12,1329,1225,177.945,218.0,11,1470191900,218462.5745277344,True,True,1,7.0
42,43,flattened:0012-1695-1004:11_1470191900,39447,1004.414,1696.096,232.63299999999998,215.9,121.926,234.09400000000002,12,971,1583,106.887,216.949,11,1470191900,233503.13295472055,True,True,1,8.0
43,44,flattened:0013-1018-0970:12_1470191960,38700,970.862,1018.013,228.06400000000002,216.055,85.079,231.953,13,962,903,95.194,216.0,12,1470191960,228736.8936648698,True,False,1,6.0
44,45,flattened:0013-1224-1450:12_1470191960,37788,1449.3570000000002,1224.81,220.695,218.00799999999998,13.822000000000001,223.403,13,1340,1212,173.575,218.0,12,1470191960,218849.0733690574,True,False,1,7.0
