,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
0,1,flattened:0001-0201-0256:00_1470195834,47806,256.369,200.889,249.484,243.97799999999998,102.62700000000001,250.833,1,233,78,101.265,244.898,0,1470195834,310011.0001355171,False,True,0,0.0
1,2,flattened:0001-0455-2121:00_1470195834,47505,2121.916,455.724,247.96900000000002,243.923,12.205,249.84,1,2002,491,17.71,244.96400000000003,0,1470195834,308275.1203481182,False,True,0,1.0
2,3,flattened:0001-1282-0472:00_1470195834,44765,472.866,1282.48,241.963,235.55900000000003,147.977,243.033,1,398,1187,127.81299999999999,236.174,0,1470195834,280032.4310359832,False,True,0,2.0
3,4,flattened:0001-1445-1032:00_1470195834,48024,1031.4160000000002,1444.307,254.575,240.18900000000002,99.765,256.632,1,996,1322,104.90299999999999,242.0,0,1470195834,315485.43139406707,False,True,0,3.0
4,5,flattened:0001-1460-1922:00_1470195834,48564,1922.3529999999998,1457.7,249.46,247.87,169.16099999999997,251.645,1,1819,1524,32.174,248.484,0,1470195834,318335.4350067436,False,True,0,4.0
5,6,flattened:0002-0143-0295:01_1470195894,47611,294.752,143.10299999999998,248.801,243.649,81.291,250.06,2,282,19,95.277,244.0,1,1470195894,306886.61906812893,False,True,0,0.0
6,7,flattened:0002-0447-2130:01_1470195894,47469,2130.8089999999997,447.709,246.85,244.843,36.433,249.062,2,2023,510,29.859,245.0,1,1470195894,306890.34599839704,False,True,0,1.0
7,8,flattened:0002-1277-0476:01_1470195894,44857,476.124,1276.373,240.676,237.305,164.581,242.405,2,357,1255,169.06099999999998,238.0,1,1470195894,282137.89841952303,False,True,0,2.0
8,9,flattened:0002-1427-1050:01_1470195894,47057,1049.807,1426.65,248.83,240.78599999999997,84.76299999999999,250.15400000000002,2,1038,1552,84.495,241.797,1,1470195894,302973.3393148915,False,True,0,3.0
9,10,flattened:0002-1449-1938:01_1470195894,48640,1938.0929999999998,1446.875,250.234,247.49,155.721,252.517,2,1815,1411,166.954,248.21900000000002,1,1470195894,319495.92094636895,False,True,0,4.0
10,11,flattened:0003-0140-0302:02_1470195954,47586,302.084,139.849,248.08700000000002,244.22299999999998,65.544,249.514,3,262,258,71.057,245.232,2,1470195954,308166.72675465315,False,True,0,0.0
11,12,flattened:0003-0448-2133:02_1470195954,47617,2134.137,448.711,247.199,245.25900000000001,84.595,249.04,3,2040,530,40.277,245.0,2,1470195954,306849.351424986,False,True,0,1.0
12,13,flattened:0003-1276-0476:02_1470195954,44985,476.537,1275.817,240.821,237.83900000000003,5.307,243.52599999999998,3,355,1283,3.767,238.0,2,1470195954,284117.5729008907,False,True,0,2.0
13,14,flattened:0003-1429-1057:02_1470195954,47005,1057.944,1428.175,246.18200000000002,243.107,57.589,248.07299999999998,3,996,1535,60.542,243.245,2,1470195954,301805.3238358535,False,True,0,3.0
14,15,flattened:0003-1447-1940:02_1470195954,48478,1940.796,1444.445,249.396,247.495,161.516,251.543,3,1818,1407,166.903,248.12,2,1470195954,317446.4275642371,False,True,0,4.0
15,16,flattened:0004-0538-1175:03_1470196014,37761,1174.9260000000002,538.124,223.08599999999998,215.517,172.012,224.018,4,1070,577,20.375999999999998,215.0,3,1470196014,215320.733879263,True,True,1,5.0
16,17,flattened:0004-1133-1691:03_1470196014,41165,1690.612,1133.233,234.178,223.817,78.443,235.79,4,1642,1241,65.17399999999999,224.0,3,1470196014,247353.14416337592,True,True,1,6.0
17,18,flattened:0004-1300-0860:03_1470196014,40547,860.0239999999999,1299.971,227.74599999999998,226.683,94.965,229.65200000000002,4,821,1192,109.855,226.862,3,1470196014,242103.5583150976,True,True,1,7.0
18,19,flattened:0005-0580-1304:04_1470196074,37131,1305.009,580.615,227.049,208.222,140.775,227.903,5,1230,495,132.51,209.225,4,1470196074,212551.78092565754,True,True,1,5.0
19,20,flattened:0005-1181-1757:04_1470196074,40396,1755.72,1182.098,235.95,217.986,93.384,239.36599999999999,5,1732,1063,99.62,218.0,4,1470196074,243461.61594720682,True,True,1,6.0
20,21,flattened:0005-1344-1007:04_1470196074,39798,1007.428,1343.441,227.08,223.148,89.314,229.896,5,974,1454,68.569,223.30599999999998,4,1470196074,236872.32551920222,True,True,1,7.0
21,22,flattened:0006-0562-1379:05_1470196134,37095,1378.493,563.075,229.321,205.96,118.973,230.868,6,1343,453,109.22,207.282,5,1470196134,214046.09969844393,True,True,1,5.0
22,23,flattened:0006-1179-1773:05_1470196134,39800,1771.5420000000001,1179.537,235.02599999999998,215.614,98.147,238.202,6,1739,1063,103.103,216.845,5,1470196134,239777.06346769608,True,True,1,6.0
23,24,flattened:0006-1333-1060:05_1470196134,39318,1059.062,1332.3970000000002,226.15400000000002,221.359,73.94,230.512,6,989,1423,51.34,221.0,5,1470196134,234232.28881176343,True,True,1,7.0
24,25,flattened:0007-0544-1425:06_1470196194,37372,1424.3470000000002,544.788,231.831,205.25099999999998,111.54799999999999,233.38,7,1404,430,101.117,206.41400000000002,6,1470196194,216464.54397382695,True,True,1,5.0
25,26,flattened:0007-1180-1774:06_1470196194,39952,1772.7089999999998,1179.405,235.68,215.83700000000002,99.87899999999999,239.14,7,1738,1063,104.036,217.425,6,1470196194,242184.70803394442,True,True,1,6.0
26,27,flattened:0007-1319-1088:06_1470196194,39368,1086.922,1318.655,226.644,221.162,68.812,231.019,7,1024,1416,52.386,221.0,6,1470196194,235022.2290821342,True,True,1,7.0
27,28,flattened:0008-0526-1454:07_1470196254,37495,1453.751,526.513,232.933,204.952,115.61,234.887,8,1424,413,105.811,206.172,7,1470196254,218337.8029986792,True,True,1,5.0
28,29,flattened:0008-1180-1775:07_1470196254,40044,1773.068,1179.649,236.072,215.97400000000002,100.24700000000001,239.176,8,1736,1064,105.024,217.546,7,1470196254,242434.6357049978,True,True,1,6.0
29,30,flattened:0008-1318-1107:07_1470196254,39357,1105.81,1317.015,226.752,220.99400000000003,77.098,231.57299999999998,8,1058,1423,60.224,221.72,7,1470196254,237015.04141691476,True,True,1,7.0
30,31,flattened:0009-0525-1459:08_1470196316,37606,1458.878,525.4590000000001,234.301,204.359,118.693,235.907,9,1424,413,108.281,205.285,8,1470196316,218535.37986671296,True,True,1,5.0
31,32,flattened:0009-1181-1774:08_1470196316,40076,1772.5970000000002,1179.825,236.46400000000003,215.78900000000002,102.221,239.282,9,1737,1064,102.061,217.355,8,1470196316,242299.3032107992,True,True,1,6.0
32,33,flattened:0009-1315-1112:08_1470196316,39398,1111.833,1313.066,227.231,220.75799999999998,84.62200000000001,231.625,9,1080,1425,69.531,221.762,8,1470196316,237162.52241259915,True,True,1,7.0
