File,Embryo number,TmntCat,Salinity,Volume,SE_Volume,InvSalinity
Z01_meas.xls,Z01,ribbon,30.0,308914.71968189545,10046.944273378116,0.03333333333333333
Z02_meas.xls,Z02,isolated,77.0,179510.7894163973,5143.930688960936,0.012987012987012988
Z04_meas.xls,Z04,isolated,63.0,211230.64456097232,8972.13938366182,0.015873015873015872
Z05_meas.xls,Z05,isolated,45.0,211847.32419744477,4229.698225311996,0.022222222222222223
Z08_meas.xls,Z08,isolated,32.0,308713.92257029586,11027.072882702423,0.03125
Z09_meas.xls,Z09,isolated,78.0,229720.6158341185,5736.857590187819,0.01282051282051282
Z10_meas.xls,Z10,ribbon,58.55421687,226462.43248785808,3397.3722794019545,0.017078189299673578
Z11_meas.xls,Z11,isolated,32.0,303878.48947860877,3739.292045543088,0.03125
Z12_meas.xls,Z12,isolated,63.0,205284.7593808688,3385.3403259972188,0.015873015873015872
Z13_meas.xls,Z13,ribbon,31.0,287286.6465647418,6880.905216306537,0.03225806451612903
Z14_meas.xls,Z14,ribbon,177.9310345,121328.61537518317,2947.100082803152,0.005620155038215101
Z15_meas.xls,Z15,isolated,48.0,253462.52747791237,3748.88001252256,0.020833333333333332
Z16_meas.xls,Z16,isolated,32.0,280321.81985754665,6711.665489169305,0.03125
Z17_meas.xls,Z17,isolated,48.0,245125.97796677696,11888.742689814842,0.020833333333333332
Z18_meas.xls,Z18,isolated,78.0,265026.90099779924,9305.399502270937,0.01282051282051282
Z19_meas.xls,Z19,isolated,46.0,207753.661837617,11979.29429328445,0.021739130434782608
Z20_meas.xls,Z20,ribbon,96.92307692,218832.31182662997,18093.515629478294,0.010317460317787856
Z21_meas.xls,Z21,ribbon,30.0,321751.90554990753,7018.182683886562,0.03333333333333333
Z22_meas.xls,Z22,isolated,63.0,253434.6066744613,17677.375528140747,0.015873015873015872
Z23_meas.xls,Z23,isolated,32.0,248857.45091847828,9539.672720822231,0.03125
Z24_meas.xls,Z24,isolated,79.0,218020.1722965165,3046.545230102184,0.012658227848101266
Z26_meas.xls,Z26,ribbon,60.92783505,240337.88391432274,4583.826533929038,0.01641285956048425
Z27_meas.xls,Z27,ribbon,30.0,288412.3874903472,8215.348723477224,0.03333333333333333
Z28_meas.xls,Z28,isolated,63.0,242904.42176380535,8380.036099018631,0.015873015873015872
Z29_meas.xls,Z29,ribbon,61.59574468,210275.11720443176,11952.794462957896,0.016234887737702725
Z30_meas.xls,Z30,ribbon,67.86885246,241792.48899587645,7200.169733621008,0.014734299516694672
Z31_meas.xls,Z31,ribbon,41.57480315,256220.78166962284,5478.993335207692,0.02405303030280253
Z32_meas.xls,Z32,ribbon,43.89473684,222104.22129706526,7093.040824847323,0.022781774581428382
Z33_meas.xls,Z33,ribbon,30.0,261171.16164578483,6778.351482670757,0.03333333333333333
